scenario_id,strategy,latency_ms,cpu_ms,error,
S00225,Embed,4.185,1.255,None,
S00225,Reference,20.544,0.806,None,
S00225,Hybrid,16.463,0.582,None,
S00226,Embed,7.962,2.041,None,
S00226,Reference,173.06,5.674,None,
S00226,Hybrid,130.317,3.819,None,
S00227,Embed,4.98,1.125,None,
S00227,Reference,782.817,26.408,None,
S00227,Hybrid,633.507,15.444,None,
S00228,Embed,4.049,1.231,None,
S00228,Reference,16.887,0.887,None,
S00228,Hybrid,19.903,1.319,None,
S00229,Embed,3.827,1.02,None,
S00229,Reference,221.384,12.201,None,
S00229,Hybrid,180.177,9.165,None,
S00230,Embed,4.538,1.222,None,
S00230,Reference,1138.482,54.994,None,
S00230,Hybrid,819.355,28.492,None,
S00231,Embed,7.675,1.785,None,
S00231,Reference,22.627,1.34,None,
S00231,Hybrid,14.924,0.831,None,
S00232,Embed,3.608,0.921,None,
S00232,Reference,197.533,8.546,None,
S00232,Hybrid,153.958,10.54,None,
S00233,Embed,3.247,0.974,None,
S00233,Reference,1098.665,52.127,None,
S00233,Hybrid,794.044,36.728,None,
